,dep_time,sched_dep_time,dep_delay,arr_time,sched_arr_time,arr_delay,carrier,flight,tailnum,origin,dest,air_time,distance,std,sta,atd,ata,date
0,1807.0,1630,97.0,1956.0,1837,79.0,EV,4411,N13566,EWR,MEM,144.0,946,16:30:00,18:37:00,18:07:00,19:56:00,2013-02-26
1,1459.0,1445,14.0,1801.0,1747,14.0,B6,1171,N661JB,LGA,FLL,147.0,1076,14:45:00,17:47:00,14:59:00,18:01:00,2013-08-17
2,1812.0,1815,-3.0,2055.0,2125,-30.0,AS,7,N403AS,EWR,SEA,315.0,2402,18:15:00,21:25:00,18:12:00,20:55:00,2013-02-13
3,2122.0,2115,7.0,2339.0,2353,-14.0,B6,97,N656JB,JFK,DEN,221.0,1626,21:15:00,23:53:00,21:22:00,23:39:00,2013-04-11
4,1832.0,1835,-3.0,2145.0,2155,-10.0,AA,269,N3EYAA,JFK,SEA,358.0,2422,18:35:00,21:55:00,18:32:00,21:45:00,2013-08-05
5,1500.0,1505,-5.0,1751.0,1650,61.0,UA,685,N424UA,LGA,ORD,116.0,733,15:05:00,16:50:00,15:00:00,17:51:00,2013-06-30
6,1442.0,1445,-3.0,1833.0,1747,46.0,UA,346,N446UA,EWR,MIA,200.0,1085,14:45:00,17:47:00,14:42:00,18:33:00,2013-02-14
7,752.0,755,-3.0,1037.0,1057,-20.0,DL,2395,N909DL,LGA,PBI,140.0,1035,7:55:00,10:57:00,7:52:00,10:37:00,2013-07-25
8,557.0,600,-3.0,725.0,715,10.0,MQ,3267,N542MQ,EWR,ORD,113.0,719,6:00:00,7:15:00,5:57:00,7:25:00,2013-07-10
9,1907.0,1915,-8.0,2155.0,2219,-24.0,DL,2159,N909DE,JFK,MCO,138.0,944,19:15:00,22:19:00,19:07:00,21:55:00,2013-12-13
10,1455.0,1500,-5.0,1647.0,1655,-8.0,MQ,4429,N734MQ,LGA,CMH,83.0,479,15:00:00,16:55:00,14:55:00,16:47:00,2013-01-28
11,903.0,912,-9.0,1051.0,1115,-24.0,EV,4348,N12163,EWR,MSP,138.0,1008,9:12:00,11:15:00,9:03:00,10:51:00,2013-09-06
12,,620,,,817,,EV,4963,N750EV,EWR,MSP,,1008,6:20:00,8:17:00,,,2013-08-19
13,553.0,600,-7.0,657.0,724,-27.0,EV,5689,N825AS,LGA,IAD,48.0,229,6:00:00,7:24:00,5:53:00,6:57:00,2013-04-08
14,625.0,630,-5.0,824.0,832,-8.0,US,1433,N188US,LGA,CLT,98.0,544,6:30:00,8:32:00,6:25:00,8:24:00,2013-05-12
15,823.0,829,-6.0,1006.0,1017,-11.0,DL,1157,N324US,EWR,MSP,139.0,1008,8:29:00,10:17:00,8:23:00,10:06:00,2013-09-14
16,649.0,700,-11.0,938.0,1006,-28.0,DL,2003,N317US,LGA,MIA,153.0,1096,7:00:00,10:06:00,6:49:00,9:38:00,2013-05-11
